country,country_clean,title,views_total,views_median,title_clean,lat,long,city/mountain/poi,extract
Australia,Australia,Now_You_See_Me_2,8149021,5577.7008898,Now You See Me 2,-31.952,115.861,Perth,"Now You See Me 2 is a 2016 American magic caper thriller film directed by Jon M. Chu and written by Ed Solomon. The film stars an ensemble cast that includes Mark Ruffalo, Jesse Eisenberg, Woody Harrelson..."
Australia,Australia,The_Babadook,5409374,3702.5147159,The Babadook,-34.929,138.599,Adelaide,"The Babadook is a 2014 Australian psychological horror drama film written and directed by Jennifer Kent in her directorial debut, and produced by Kristina Ceyton and Kristian Molière. The film stars Essie..."
Australia,Australia,Mad_Max,5267607,3605.4804928,Mad Max,-28,153.431,Gold Coast,"Mad Max is a 1979 Australian dystopian action film directed by George Miller, produced by Byron Kennedy, and starring Mel Gibson as Mad"" Max Rockatansky, Joanne Samuel, Hugh Keays-Byrne"
Australia,Australia,Finding_Nemo,4848940,3318.9185489,Finding Nemo,-35.283,149.128,Canberra,Finding Nemo is a 2003 American computer-animated adventure film produced by Pixar Animation Studios and released by Walt Disney Pictures. Written and directed by Andrew Stanton with co-direction by Lee...
Australia,Australia,Geostorm,3693689,2528.1923340,Geostorm,-32.93,151.78,Newcastle,"Geostorm is a 2017 American science-fiction disaster film directed, co-written, and co-produced by Dean Devlin in his feature film directorial debut. The film stars  Gerard Butler, Jim Sturgess, Ed Harris..."
Australia,Australia,The_Light_Between_Oceans_(film),3598788,2463.2361396,The Light Between Oceans ,-34.424,150.893,Wollongong,The Light Between Oceans is a 2016 romantic drama written and directed by Derek Cianfrance and based on the 2012 novel The Light Between Oceans by M. L. Stedman. An international co-production between...
Australia,Australia,Point_Break,3048522,2086.5995893,Point Break,-27.639,153.109,Logan City,"Point Break is a 1991 American action film directed by Kathryn Bigelow and written by W. Peter Iliff. It stars Patrick Swayze, Keanu Reeves, Lori Petty and Gary Busey, and the film's title refers to the..."
Austria,Austria,Captain_America:_Civil_War,32671772,22362.6091718,Captain America: Civil War,48.208,16.372,Vienna,"Captain America: Civil War is a 2016 American superhero film based on the Marvel Comics character Captain America, produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures. It..."
Austria,Austria,Black_Panther_(film),27035476,18504.7748118,Black Panther ,47.067,15.45,Graz,"Black Panther is a 2018 American superhero film based on the Marvel Comics character of the same name. Produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures, it is the eighteenth..."
Austria,Austria,Spectre_(2015_film),17848919,12216.9192334,Spectre (2015 film),48.306,14.286,Linz,"Spectre is a 2015 British spy film, the twenty-fourth in the James Bond film series produced by Eon Productions for Metro-Goldwyn-Mayer and Columbia Pictures. It is the fourth film to feature Daniel Craig..."
