title_clean,lat,long,country
The Incredible Hulk ,51.05,-114.085,Canada
X-Men Origins: Wolverine,45.411,-75.698,Canada
The Wolverine ,53.55,-113.469,Canada
World War Z ,43.579,-79.658,Canada
Creed II,43.767,-79.416,Canada
Scott Pilgrim vs. the World,49.884,-97.147,Canada
X-Men ,49.25,-123.119,Canada
Geostorm,43.772,-79.257,Canada
Down to Earth (1995 film),14.932,-23.513,Cape_Verde
Amílcar Cabral ,16.89,-24.98,Cape_Verde
"Batuque, the Soul of a People",16.598,-22.905,Cape_Verde
The Two Faces of War,14.891,-24.293,Cape_Verde
The Island of Contenda,15.133,-23.567,Cape_Verde
Fintar o Destino,15.137,-23.531,Cape_Verde
A Ilha dos Escravos,14.896,-24.496,Cape_Verde
Buska Santu,15.1,-23.683,Cape_Verde
Haven ,19.287,-81.374,Cayman_Islands
Echoes from a Sombre Empire,4.361,18.555,Central_African_Republic
The Passenger (1975 film),12.107,15.044,Chad
A Screaming Man,8.567,16.083,Chad
Daratt,9.143,18.392,Chad
Abouna,13.829,20.832,Chad
The Impostor (1944 film),9.309,15.807,Chad
Bye Bye Africa,8.913,17.554,Chad
Captive of the Desert,9.364,14.905,Chad
Google Darfur,11.03,20.283,Chad
The Adventurer of Chad,10.281,15.372,Chad
Travels in the Congo ,12.184,18.693,Chad
Grimsby ,-33.457,-70.648,Chile
Colonia ,-33.612,-70.576,Chile
The 33 ,-23.652,-70.395,Chile
Alive (1993 film),-33.025,-71.552,Chile
The Motorcycle Diaries ,-33.036,-71.63,Chile
Hop ,-36.725,-73.117,Chile
A Fantastic Woman,-33.592,-70.7,Chile
The Reluctant Fundamentalist ,-38.74,-72.598,Chile
Saludos Amigos,-20.213,-70.15,Chile
Aftershock (2012 film),-36.827,-73.05,Chile
Deadpool 2,31.222,121.458,China
The Martian ,39.907,116.397,China
The Dark Knight ,39.142,117.177,China
Forrest Gump,23.117,113.25,China
Everest (2015 film),22.546,114.068,China
X-Men: Days of Future Past,30.583,114.267,China
Now You See Me 2,23.018,113.749,China
Godzilla: King of the Monsters (2019 film),29.563,106.553,China
Skyfall,30.667,104.067,China
Silence (2016 film),32.062,118.778,China
Narcos,4.61,-74.082,Colombia
XXX (2002 film),3.437,-76.522,Colombia
American Made ,6.252,-75.564,Colombia
Narcos: Mexico,10.969,-74.781,Colombia
The Belko Experiment,10.4,-75.514,Colombia
Blow ,7.894,-72.508,Colombia
The Infiltrator (2016 film),7.125,-73.12,Colombia
Lord of War,4.813,-75.696,Colombia
Mr. & Mrs. Smith (2005 film),11.241,-74.199,Colombia
Snatched (2017 film),4.439,-75.232,Colombia
Lorenzo's Oil,-11.702,43.255,Comoros
Jurassic World,9.933,-84.083,Costa_Rica
Jurassic World: Fallen Kingdom,9.991,-83.036,Costa_Rica
Jurassic Park ,9.993,-84.129,Costa_Rica
Fast & Furious 6,10.016,-84.212,Costa_Rica
The Lost World: Jurassic Park,10.635,-85.438,Costa_Rica
Jurassic Park III,9.838,-83.866,Costa_Rica
Club Dread,9.976,-84.838,Costa_Rica
Runner Runner,9.367,-83.697,Costa_Rica
Surf School,9.912,-84.034,Costa_Rica
Lego Jurassic World: The Indominus Escape,9.96,-84.048,Costa_Rica
Raabta ,45.814,15.978,Croatia
From Russia with Love ,43.509,16.439,Croatia
Melancholie der Engel,45.327,14.442,Croatia
High Lane ,45.551,18.694,Croatia
Doraemon: Nobita's New Great Adventure into the Underworld,44.12,15.242,Croatia
Harrison's Flowers,45.16,18.016,Croatia
Doraemon: Nobita's Great Adventure into the Underworld,44.868,13.848,Croatia
The Ninth Circle,45.831,16.116,Croatia
Lapitch the Little Shoemaker,45.492,15.55,Croatia
Fatal Sky,46.304,16.338,Croatia
Transformers: The Last Knight,23.133,-82.383,Cuba
The Fate of the Furious,20.021,-75.827,Cuba
Mission: Impossible – Rogue Nation,21.381,-77.917,Cuba
Citizen Kane,20.887,-76.263,Cuba
The Godfather Part II,20.144,-75.209,Cuba
X-Men: First Class,22.407,-79.965,Cuba
A Few Good Men,23.037,-82.369,Cuba
GoldenEye,20.962,-76.951,Cuba
Die Another Day,20.374,-76.644,Cuba
Bad Boys II,22.417,-83.697,Cuba
Munich ,35.175,33.364,Cyprus
Exodus (1960 film),34.684,33.038,Cyprus
Othello (1995 film),34.923,33.623,Cyprus
Othello (1951 film),35.121,33.939,Cyprus
Othello (1965 British film),34.777,32.425,Cyprus
Otello (1986 film),35.336,33.317,Cyprus
The High Bright Sun,35.013,34.058,Cyprus
Othello (1922 film),35.042,33.708,Cyprus
Otello (1906 film),35.199,32.993,Cyprus
Barabbas (1953 film),34.952,33.592,Cyprus
XXX (2002 film),50.088,14.421,Czech_Republic
Spider-Man: Far From Home,49.195,16.608,Czech_Republic
Casino Royale (2006 film),49.835,18.282,Czech_Republic
Mission: Impossible ,49.747,13.378,Czech_Republic
Jab Harry Met Sejal,49.596,17.252,Czech_Republic
Bang Bang!,50.767,15.056,Czech_Republic
Anthropoid ,48.974,14.474,Czech_Republic
Blade II,50.209,15.833,Czech_Republic
The Spy Who Dumped Me,50.661,14.032,Czech_Republic
The Best Offer,50.041,15.777,Czech_Republic
The Legend of Tarzan ,-4.328,15.314,Democratic_Republic_of_Congo (formerly Belgian_Congo)
Tarzan (1999 film),-11.661,27.479,Democratic_Republic_of_Congo (formerly Belgian_Congo)
The Good Shepherd ,-6.136,23.59,Democratic_Republic_of_Congo
Ali ,0.515,25.191,Democratic_Republic_of_Congo
Outbreak ,-4.384,15.391,Democratic_Republic_of_Congo
Vanamagan,-5.896,22.417,Democratic_Republic_of_Congo (formerly Belgian_Congo)
Congo ,-10.983,26.738,Democratic_Republic_of_Congo
Ayan ,-10.715,25.467,Democratic_Republic_of_Congo
"Greystoke: The Legend of Tarzan, Lord of the Apes",-6.416,20.8,Democratic_Republic_of_Congo (formerly Belgian_Congo)
Tarzan (2013 film),0.491,29.473,Democratic_Republic_of_Congo (formerly Belgian_Congo)
The Lion King,55.676,12.566,Denmark
The Danish Girl ,56.157,10.211,Denmark
Captain America: The First Avenger,55.396,10.388,Denmark
The Lion King (2019 film),57.048,9.919,Denmark
The Secret Life of Walter Mitty (2013 film),55.679,12.535,Denmark
Fantastic Four: Rise of the Silver Surfer,55.47,8.452,Denmark
Beowulf (2007 film),55.861,9.85,Denmark
Haider ,56.461,10.036,Denmark
Out of Africa ,55.49,9.472,Denmark
Eight Below,55.709,9.536,Denmark
Beau Travail,11.589,43.145,Djibouti
The Dirty Game,11.156,42.712,Djibouti
The Great Appeal,11.788,42.882,Djibouti
Creole Connections,15.302,-61.388,Dominica
Dominica: Charting a Future for Paradise,15.583,-61.467,Dominica
